"id","category","name","price","salePrice","sale","url"
"1","Consoles","GRA KONSOLA TV RETRO PEGASUS 620 GRY PADY MARIO","52,90 zł","99,00 zł","-46%","https://allegro.pl/oferta/gra-konsola-tv-retro-pegasus-620-gry-pady-mario-10417683749"
"2","Consoles","STACJA DOKUJĄCA PS4 ŁADOWARKA NA 2 KONTROLERY PADY","40,00 zł z kurierem","99,99 zł","-59%","https://allegro.pl/oferta/stacja-dokujaca-ps4-ladowarka-na-2-kontrolery-pady-8478801845"
"3","Consoles","Konsola bezprzewodowa retro HD 4K 568 gier 2 pady","139,00 zł","249,99 zł","-44%","https://allegro.pl/oferta/konsola-bezprzewodowa-retro-hd-4k-568-gier-2-pady-9842631282"
"4","Consoles","Przenośna konsola X7 PLUS do gier bajek DUŻY EKRAN","188,90 zł","299,00 zł","-36%","https://allegro.pl/oferta/przenosna-konsola-x7-plus-do-gier-bajek-duzy-ekran-9192958664"
"5","Consoles","PS3 SLIM 320 GB +MOVE +KAMERA + PAD+GRY","479,00 zł","799,00 zł","-40%","https://allegro.pl/oferta/ps3-slim-320-gb-move-kamera-pad-gry-9429950488"
"6","Consoles","ŁADOWARKA STACJA DOKUJĄCA PADÓW XBOX ONE S/X 2xaku","79,95 zł z kurierem","129,90 zł","-38%","https://allegro.pl/oferta/ladowarka-stacja-dokujaca-padow-xbox-one-s-x-2xaku-9929402370"
"7","Consoles","KONSOLA PRZENOŚNA GRA X7 PREMIUM DUŻY EKRAN","169,00 zł","259,00 zł","-34%","https://allegro.pl/oferta/konsola-przenosna-gra-x7-premium-duzy-ekran-9976947613"
"8","Consoles","ELEKTRONICZNA GRA TETRIS WĘŻYK konsola kieszonkowa","9,99 zł z kurierem","40,99 zł","-75%","https://allegro.pl/oferta/elektroniczna-gra-tetris-wezyk-konsola-kieszonkowa-9751967297"
"9","Consoles","Konsola bezprzewodowa HD RETRO GRY PS3000 EMULATOR","269,99 zł","349,99 zł","-22%","https://allegro.pl/events/clicks?emission_unit_id=55def079-398e-453b-b3df-1f7ec20398af&emission_id=8e69a233-d29d-4702-8acd-9053d2a9c1e3&type=OFFER&ts=1616081353071&redirect=https%3A%2F%2Fallegro.pl%2Foferta%2Fkonsola-bezprzewodowa-hd-retro-gry-ps3000-emulator-10504372522%3Fbi_s%3Dads%26bi_m%3Dlisting%253Adesktop%253Acategory%26bi_c%3DMmY1NDZiZDAtZDE5YS00YTEzLTljOGYtOWE1OTdlYmQwNDEzAA%26bi_t%3Dape&placement=listing:desktop:category&sig=27bf782335825983c891ae7e4579ab8d"
"10","Consoles","Konsola bezprzewodowa HD RETRO GRY PS3000 EMULATOR","259,00 zł","349,00 zł","-25%","https://allegro.pl/oferta/konsola-bezprzewodowa-hd-retro-gry-ps3000-emulator-10504393568"
"11","Consoles","MINI KONSOLA DO GRY RETRO 400 GIER PRZENOŚNA + PAD","34,99 zł","249,99 zł","-86%","https://allegro.pl/oferta/mini-konsola-do-gry-retro-400-gier-przenosna-pad-10449548651"
"12","Consoles","Konsola bezprzewodowa HD RETRO GRY PS3000 EMULATOR","259,00 zł","389,00 zł","-33%","https://allegro.pl/oferta/konsola-bezprzewodowa-hd-retro-gry-ps3000-emulator-10499302907"
"13","Consoles","Konsola bezprzewodowa HD RETRO GRY PS3000 EMULATOR","259,00 zł","379,00 zł","-31%","https://allegro.pl/oferta/konsola-bezprzewodowa-hd-retro-gry-ps3000-emulator-10498869151"
"14","Consoles","Konsola bezprzewodowa retro HD 4K 568 gier 2 pady","129,00 zł","279,99 zł","-53%","https://allegro.pl/oferta/konsola-bezprzewodowa-retro-hd-4k-568-gier-2-pady-9842346359"
"15","Consoles","MINI PRZENOŚNA KONSOLA RETRO GRA 400 W 1 GAMEBOY","31,50 zł","49,00 zł","-35%","https://allegro.pl/oferta/mini-przenosna-konsola-retro-gra-400-w-1-gameboy-10417692834"
